,Date,,ChatGPT-Solved,
,,Grid Size,Letters Accuracy,Words Accuracy
0,1/8/2024,15,0.745205479,0.727272727
1,8/1/2023,15,0.654255319,0.602564103
2,8/15/2023,15,0.647058824,0.676056338
3,8/20/2023,21,0.476727786,0.433823529
4,9/7/2023,15,0.622222222,0.513513514
5,10/21/2023,15,0.389333333,0.328125
6,10/31/2023,15,0.779291553,0.753424658
7,11/14/2023,15,0.644444444,0.675675676
8,11/21/2023,15,0.661971831,0.671052632
9,12/1/2023,15,0.384196185,0.359375
10,12/4/2023,15,0.604456825,0.643835616
11,12/15/2023,15,0.393530997,0.352112676
12,12/19/2023,15,0.60326087,0.61038961
13,12/21/2023,15,0.467236467,0.424657534
14,12/31/2023,21,0.540983607,0.512195122
