S.N.,Clue,Original Answer,Length of Original Answer,Generated Answer (BART),Length of Generated Answer,
0,___ hands.,all,3,sus,3,
1,informal coffeehouses,bistros,7,"cafes,",6,
2,highlight tip of silky lock of hair,stress,6,lunar,5,
3,"molar, incisor or cuspid",tooth,5,polar,5,
4,eucharist given to people in danger of dying,viaticum,8,eucharist,9,
5,choice.,election,8,choice,6,
6,oriental salutation variable,salam,5,"nude,",5,
7,ring of the cheapest sort (wordplay),local call,10,coupon cake,11,
8,joined the jam session,sat in,6,joined,6,
9,"adjective in many headlines on august 21, 2017",solar,5,sadie,5,
10,"""viva maria!"" actress 1965",bardot,6,linda a,7,
11,bristow,eric,4,cabin,5,
12,hollywood product.,script,6,cinema,6,
13,"forget, perhaps",omit,4,reap,4,
14,amount of knowledge always on the rise in african country,kenya,5,nairobi,7,
15,confine,cramp,5,"seal,",5,
16,queenly role for liz,cleo,4,nina,4,
17,actress massey  and others,ilonas,6,corsairs,8,
18,position or attitude taken,stance,6,attitude,8,
19,precedes ticket and time,meal,4,time,4,
20,labor group,ilgwu,5,labor,5,
21,,moi,3,no,2,
22,penny and mary sent back children heading off to the old vaults,pyramids,8,old vaults,10,
23,odist.,poet,4,dancer,6,
24,provides an excuse for,alibis,6,absents,7,
25,highland slopes,braes,5,trees,5,
26,"with 45-down, phrase accompanying a handshake",its,3,moo,3,
27,"vulcan salute, for example",gesture,7,salute,6,
28,... ___ not in kansas anymore,were,4,isnt,4,
29,troy,ounce,5,"troy,",5,
30,fun place to see animals,zoo,3,pet,3,
31,"agency, largely understanding manufacturing needs, arranges openings for graduat",alumna,6,registry,8,
32,chewed andean stimulants,"cocas,",6,tincts,6,
33,"expert came across, over for the time being",pro tem,7,expert,6,
34,"memory aid, of a sort",mental note,11,memorabilia,11,
35,epistolary term of address.,dear sir,8,"cabinet,",8,
36,sporting events,races,5,games,5,
37,"the ""l"" word in l.a.",los,3,lma,3,
38,ambridge college academic welcomes northern historian,clarendon,9,britishman,10,
39,impost.,levy,4,tilt,4,
