S.N.,Date,Using only First Pass Model,,After Iterative Improvement with ByT5 Model,,Time Taken for Iterative Improvement (Seconds),,
,,Before: Letter Accuracy,Before: Word Accuracy,After: Letter Accuracy,After: Word Accuracy,,,
0,11/21/2023,100.00,100.00,100.00,100.00,46.81,,
1,11/22/2023,97.84,94.74,98.38,94.74,63.03,,
2,11/23/2023,95.68,90.28,100.00,100.00,98.30,,
3,11/24/2023,98.97,95.71,100.00,100.00,70.55,,
4,11/25/2023,96.34,85.29,98.95,95.59,69.04,,
5,11/27/2023,100.00,100.00,100.00,100.00,53.07,,
6,11/28/2023,99.45,97.26,100.00,100.00,55.85,,
7,11/29/2023,100.00,100.00,100.00,100.00,51.54,,
8,12/1/2023,99.47,96.97,100.00,100.00,68.87,,
9,12/2/2023,97.97,90.00,100.00,100.00,83.26,,
10,12/3/2023,98.96,95.24,100.00,100.00,130.08,,
11,12/4/2023,100.00,100.00,100.00,100.00,49.60,,
12,12/8/2023,98.34,91.94,98.90,95.16,133.55,,
13,12/9/2023,97.95,91.18,98.46,94.12,96.69,,
14,12/10/2023,97.49,92.14,99.16,96.43,152.63,,
15,12/11/2023,100.00,100.00,100.00,100.00,51.12,,
16,12/12/2023,100.00,100.00,100.00,100.00,52.93,,
17,12/13/2023,100.00,100.00,100.00,100.00,49.06,,
Average,,98.80,95.60,99.66,98.67,76.44,,
