,Date,First Pass Letter Accuracy,First Pass Word Accuracy,Second Pass Letter Accuracy,Second Pass Word Accuracy
0,07/20/2023,95.08,82.05,95.63,83.33
1,07/27/2023,97.84,92.31,100.0,100.0
2,07/29/2023,92.39,77.14,98.98,95.71
3,08/05/2023,95.38,85.71,99.49,97.14
4,08/13/2023,97.23,90.3,99.72,98.51
5,08/17/2023,97.85,91.03,100.0,100.0
6,08/18/2023,96.3,90.28,100.0,100.0
7,08/30/2023,95.7,82.05,98.92,94.87
8,09/01/2023,94.87,83.33,100.0,100.0
9,09/08/2023,96.92,84.72,100.0,100.0
10,09/15/2023,97.89,90.32,100.0,100.0
11,09/16/2023,98.45,92.42,98.45,92.42
12,10/04/2023,95.11,83.33,95.65,84.62
13,11/22/2023,97.84,93.42,98.92,94.74
14,11/23/2023,98.92,95.83,100.0,100.0
15,11/24/2023,100.0,100.0,100.0,100.0
16,11/25/2023,96.86,88.24,100.0,100.0
17,11/28/2023,100.0,100.0,100.0,100.0
18,12/01/2023,100.0,100.0,100.0,100.0
19,12/02/2023,97.97,90.0,100.0,100.0
20,12/03/2023,98.96,95.24,100.0,100.0
21,12/08/2023,98.34,91.94,98.9,95.16
22,12/09/2023,97.95,91.18,98.46,94.12
23,12/10/2023,97.21,91.43,99.72,98.57
