,Date,Before Letter Accuracy,Before Word Accuracy,After Letter Accuracy,After Word Accuracy
0,11/1/2023,98.43,93.42,100,100
1,11/2/2023,98.92,96.05,100,100
2,11/3/2023,99.48,97.14,100,100
3,11/4/2023,97.88,89.39,99.47,96.97
4,11/5/2023,96.2,88.57,97.83,92.14
5,11/6/2023,98.92,94.74,98.92,94.74
6,11/9/2023,99.48,97.37,100,100
7,11/10/2023,98.95,94.44,99.48,97.22
8,11/11/2023,100,100,100,100
9,11/13/2023,98.4,94.59,99.47,97.3
10,11/14/2023,100,100,100,100
11,11/15/2023,97.3,89.47,96.22,85.53
12,11/17/2023,99.48,97.22,99.48,97.22
13,11/18/2023,99.48,97.06,97.93,89.71
14,11/21/2023,100,100,100,100
15,11/22/2023,97.84,93.42,100,100
16,11/23/2023,98.92,95.83,100,100
17,11/24/2023,100,100,100,100
18,11/25/2023,96.86,88.24,100,100
19,11/27/2023,100,100,100,100
20,11/28/2023,100,100,100,100
21,11/29/2023,100,100,100,100
22,12/1/2023,100,100,100,100
23,12/2/2023,97.97,90,99.49,97.14
24,12/3/2023,98.96,95.24,100,100
25,12/4/2023,100,100,100,100
26,12/8/2023,98.34,91.94,100,100
27,12/9/2023,97.95,91.18,98.97,95.59
28,12/10/2023,97.21,91.43,98.89,96.43
29,12/11/2023,100,100,100,100
30,12/12/2023,100,100,100,100
31,12/13/2023,100,100,100,100
32,12/14/2023,100,100,100,100
33,12/15/2023,90.91,84.72,94.65,88.89
34,12/18/2023,100,100,100,100
35,12/19/2023,99.47,97.44,100,100
36,12/20/2023,100,100,100,100
37,12/21/2023,98.39,93.51,99.46,97.4
38,12/22/2023,98.43,94.29,99.48,97.14
39,12/23/2023,99.5,97.06,100,100
40,12/25/2023,100,100,100,100
41,12/26/2023,100,100,100,100
