,Date,First Pass Letter Accuracy,First Pass Word Accuracy,Second Pass Letter Accuracy,Second Pass Word Accuracy
0,1/1/2021,98.17,95,98.17,95
1,1/3/2021,100,100,100,100
2,1/4/2021,100,100,100,100
3,1/5/2021,99.46,97.37,100,100
4,1/7/2021,100,100,100,100
5,1/8/2021,100,100,100,100
6,1/9/2021,100,100,100,100
7,1/10/2021,100,100,100,100
8,1/11/2021,99.46,97.44,100,100
9,1/13/2021,100,100,100,100
10,1/14/2021,96.83,84.62,96.83,84.62
11,1/15/2021,100,100,100,100
12,1/16/2021,100,100,100,100
13,1/18/2021,100,100,100,100
14,1/20/2021,100,100,100,100
15,1/22/2021,100,100,100,100
16,1/23/2021,100,100,100,100
17,1/24/2021,99.72,98.57,100,100
18,1/25/2021,100,100,100,100
19,1/27/2021,100,100,100,100
20,1/28/2021,98.92,94.59,100,100
21,1/29/2021,100,100,100,100
22,1/30/2021,100,100,100,100
23,1/31/2021,99.45,97.86,100,100
24,2/1/2021,100,100,100,100
25,2/2/2021,100,100,100,100
26,2/3/2021,100,100,100,100
27,2/5/2021,100,100,100,100
28,2/6/2021,100,100,100,100
29,2/7/2021,100,100,100,100
30,2/8/2021,100,100,100,100
31,2/9/2021,100,100,100,100
32,2/10/2021,100,100,100,100
33,2/12/2021,100,100,100,100
34,2/13/2021,99.49,97.14,99.49,97.14
35,2/16/2021,100,100,100,100
36,2/17/2021,99.45,97.44,100,100
37,2/18/2021,97.91,89.47,97.91,89.47
38,2/19/2021,100,100,100,100
39,2/20/2021,100,100,100,100
40,2/21/2021,100,100,100,100
41,2/22/2021,100,100,100,100
42,2/23/2021,100,100,100,100
43,2/24/2021,100,100,100,100
44,2/26/2021,99.48,97.14,100,100
45,2/27/2021,100,100,100,100
46,2/28/2021,99.73,98.57,100,100
47,3/1/2021,100,100,100,100
48,3/2/2021,100,100,100,100
49,3/3/2021,100,100,100,100
50,3/5/2021,100,100,100,100
51,3/6/2021,100,100,100,100
52,3/7/2021,100,100,100,100
53,3/8/2021,100,100,100,100
54,3/9/2021,100,100,100,100
55,3/10/2021,100,100,100,100
56,3/11/2021,100,100,100,100
57,3/12/2021,100,100,100,100
58,3/13/2021,100,100,100,100
59,3/14/2021,99.73,98.57,100,100
60,3/15/2021,100,100,100,100
61,3/16/2021,100,100,100,100
62,3/17/2021,98.93,95.95,100,100
63,3/19/2021,99.48,97.22,100,100
64,3/20/2021,100,100,100,100
65,3/21/2021,100,100,100,100
66,3/22/2021,100,100,100,100
67,3/23/2021,100,100,100,100
68,3/24/2021,99.47,97.3,100,100
69,3/25/2021,96.84,87.84,100,100
70,3/26/2021,100,100,100,100
71,3/27/2021,100,100,100,100
72,3/28/2021,100,100,100,100
73,3/29/2021,100,100,100,100
74,3/30/2021,100,100,100,100
,,99.76693333,98.9612,99.89866667,99.54973333
